mode,st,cache_mode,rep,qps,recall10,csv_path
A4_cons_v3,16,hot_warm,0,7541.48,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st16_hot_warm_r0.csv
A3_ref,16,hot,1,7468.26,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st16_hot_r1.csv
A4_cons_v3,16,hot,1,7547.17,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st16_hot_r1.csv
A3_ref,16,hot,2,7457.12,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st16_hot_r2.csv
A4_cons_v3,16,hot,2,7558.58,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st16_hot_r2.csv
A3_ref,16,hot,3,7457.12,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st16_hot_r3.csv
A4_cons_v3,16,hot,3,7507.51,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st16_hot_r3.csv
A3_ref,16,hot,4,7485.03,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st16_hot_r4.csv
A4_cons_v3,16,hot,4,7535.80,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st16_hot_r4.csv
A3_ref,16,hot,5,7479.43,0.976300,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A3_ref_st16_hot_r5.csv
A4_cons_v3,16,hot,5,7518.80,0.976380,/home/ray/code/SPTAG/results/adaptive_budget/budget_granularity_plan_20260505/online_sift1m_finalize/A4_cons_v3_st16_hot_r5.csv
