run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,metadata_read_bytes,code_logical_bytes,code_physical_bytes,payload_logical_bytes,payload_physical_bytes,distance_evaluated_count,duplicate_vector_count,coarse_candidate_count_before_dedupe,coarse_candidate_count_after_dedupe,rerank_candidate_count,final_result_count,coarse_candidate_hash,payload_page_hash,final_result_hash,recall,unique_payload_pages,payload_candidates,postings_with_payload,total_payload_page_spans,truth_count,coarse_recall,coarse_recall_after_dedupe,rerank_recall,final_recall,truth_recovered_by_head_result,truth_dropped_per_posting_topr,truth_dropped_global_topr,truth_dropped_rerank_topk,truth_missing_not_observed_in_scanned_posting,truth_missing_not_in_posting_reserved
run_1777697980835,1,4,1,16,0,133155680878068,133155686015087,5.137000,0.414000,4.723000,0.000000,0.000000,1.772456,0.000000,0.000000,0.000000,63,108,442368,5067,0,121608,0,32768,442368,256,0,5067,4368,256,10,13791849408026985656,15043453879485780771,9297516540654015746,1.000000,108,256,56,262,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,17,0,133155686015261,133155691077065,5.062000,0.398000,4.664000,0.000000,0.000000,2.043979,0.000000,0.000000,0.000000,64,122,499712,4749,0,113976,0,32768,499712,256,0,4749,4178,256,10,16175117730806511895,16727619288856464178,3619272345288738102,0.800000,122,256,57,262,10,7,7,6,8,2,0,1,0,1,0
run_1777697980835,1,4,1,18,0,133155691077151,133155695182566,4.105000,0.427000,3.678000,0.000000,0.000000,1.604249,0.000000,0.000000,0.000000,64,98,401408,3702,0,88848,0,32768,401408,256,0,3702,3315,256,10,8081806832193599092,16894102022525024960,17572164925302576454,0.800000,98,256,55,260,10,8,8,8,8,0,0,0,0,2,0
run_1777697980835,1,4,1,19,0,133155695182623,133155699446344,4.264000,0.389000,3.875000,0.000000,0.000000,1.529301,0.000000,0.000000,0.000000,64,95,389120,4472,0,107328,0,32768,389120,256,0,4472,3826,256,10,16628896264412891107,12016914790516868963,3907923157815006380,1.000000,95,256,55,259,10,10,10,10,10,0,0,0,0,0,0
run_1777697980835,1,4,1,20,0,133155699446410,133155703011432,3.565000,0.434000,3.131000,0.000000,0.000000,1.432635,0.000000,0.000000,0.000000,64,87,356352,3220,0,77280,0,32768,356352,256,0,3220,2531,256,10,16548215725459623532,8583754045672709169,2176070390037363915,1.000000,87,256,56,257,10,7,7,7,10,3,0,0,0,0,0
run_1777697980835,1,4,1,21,0,133155703011493,133155706432095,3.421000,0.402000,3.019000,0.000000,0.000000,1.329061,0.000000,0.000000,0.000000,64,82,335872,3201,0,76824,0,32768,335872,256,0,3201,2684,256,10,1326727417370891601,4939836592856560411,1872659481871053988,1.000000,82,256,49,258,10,8,8,8,10,2,0,0,0,0,0
run_1777697980835,1,4,1,22,0,133155706432166,133155709615078,3.183000,0.460000,2.723000,0.000000,0.000000,1.342507,0.000000,0.000000,0.000000,64,76,311296,2532,0,60768,0,32768,311296,256,0,2532,2096,256,10,493210887212280726,16420519331872522861,1639423148416647803,0.900000,76,256,60,257,10,10,10,9,9,0,0,1,0,0,0
run_1777697980835,1,4,1,23,0,133155709615129,133155713608244,3.993000,0.390000,3.603000,0.000000,0.000000,1.705326,0.000000,0.000000,0.000000,64,106,434176,3605,0,86520,0,32768,434176,256,0,3605,3050,256,10,17682446351842082399,2194078721989524889,16536070840551246506,1.000000,106,256,56,258,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,24,0,133155713608350,133155717128591,3.520000,0.384000,3.136000,0.000000,0.000000,1.465595,0.000000,0.000000,0.000000,64,89,364544,2961,0,71064,0,32768,364544,256,0,2961,2616,256,10,16798266655551926217,8473349863792792155,15991291665808723773,0.900000,89,256,54,260,10,8,8,7,9,2,0,1,0,0,0
run_1777697980835,1,4,1,25,0,133155717128648,133155720958186,3.830000,0.424000,3.406000,0.000000,0.000000,1.699737,0.000000,0.000000,0.000000,63,94,385024,3225,0,77400,0,32768,385024,256,0,3225,2651,256,10,16517833630051093554,7553249333485056465,10635144677088908859,1.000000,94,256,52,262,10,7,7,7,10,3,0,0,0,0,0
run_1777697980835,1,4,1,26,0,133155720958229,133155725369134,4.411000,0.407000,4.004000,0.000000,0.000000,1.605752,0.000000,0.000000,0.000000,64,103,421888,4555,0,109320,0,32768,421888,256,0,4555,3953,256,10,16531176686210741564,6550782379739808270,8120395202430658751,1.000000,103,256,57,257,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,27,0,133155725369213,133155729648207,4.279000,0.420000,3.859000,0.000000,0.000000,1.792996,0.000000,0.000000,0.000000,64,107,438272,3916,0,93984,0,32768,438272,256,0,3916,3266,256,10,2805990082614361289,8120905229408050049,9021369377223426171,1.000000,107,256,59,264,10,10,10,10,10,0,0,0,0,0,0
run_1777697980835,1,4,1,28,0,133155729648264,133155734425018,4.777000,0.364000,4.413000,0.000000,0.000000,1.985023,0.000000,0.000000,0.000000,64,120,491520,4613,0,110712,0,32768,491520,256,0,4613,3911,256,10,10875669327100471243,5459187698250541713,9734838487506129804,1.000000,120,256,61,260,10,9,9,9,10,1,0,0,0,0,0
