sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
206745057158473,206745157899203,sda,14752,7553024,71.501616,0,7.911398,797
206745157899203,206745258592638,sda,16224,8306688,78.673202,0,8.967814,903
206745258592638,206745359281948,sda,14472,7409664,70.180303,0,8.302768,836
206745359281948,206745459951010,sda,15160,7761920,73.531466,0,8.522976,858
206745459951010,206745560668400,sda,15360,7864320,74.465790,0,8.647960,871
206745560668400,206745661434194,sda,14256,7299072,69.080362,0,8.683502,875
206745661434194,206745762104529,sda,12704,6504448,61.618202,0,7.271258,732
206745762104529,206745862828488,sda,15912,8146944,77.136873,0,9.034593,910
206745862828488,206745963521411,sda,17424,8921088,84.492656,0,10.209258,1028
206745963521411,206746064193383,sda,13600,6963200,65.962997,0,8.125400,818
206746064193383,206746164922056,sda,15104,7733248,73.216491,0,9.808528,988
206746164922056,206746265603251,sda,17112,8761344,82.989368,0,9.356266,942
206746265603251,206746366343865,sda,12824,6565888,62.156845,0,7.792289,785
206746366343865,206746467048871,sda,15240,7802880,73.893112,0,8.946924,901
206746467048871,206746567719411,sda,17160,8785920,83.230966,0,9.834059,990
206746567719411,206746668381491,sda,13136,6725632,63.718756,0,7.778500,783
206746668381491,206746769084666,sda,15760,8069120,76.415788,0,8.897435,896
206746769084666,206746869755271,sda,14528,7438336,70.464958,0,7.827508,788
206746869755271,206746970405688,sda,15400,7884800,74.709390,0,8.723262,878
206746970405688,206747071278530,sda,12040,6164480,58.280367,0,7.464844,753
206747071278530,206747171982000,sda,14376,7360512,69.704959,0,8.232090,829
206747171982000,206747272725655,sda,15704,8040448,76.113664,0,8.556370,862
206747272725655,206747373474999,sda,12480,6389760,60.484265,0,7.255630,731
206747373474999,206747474131679,sda,13976,7155712,67.796978,0,8.772393,883
206747474131679,206747574782569,sda,14232,7286784,69.042795,0,9.031217,909
206747574782569,206747675561996,sda,12344,6320128,59.807283,0,7.184006,724
206747675561996,206747776233495,sda,16288,8339456,79.000761,0,9.824032,989
206747776233495,206747876923793,sda,13024,6668288,63.157773,0,8.749602,881
206747876923793,206747977676250,sda,11752,6017024,56.954256,0,8.386892,845
206747977676250,206748078418731,sda,13536,6930432,65.606633,0,12.437653,1253
206748078418731,206748179136459,sda,12464,6381568,60.425683,0,7.595485,765
