sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
213244035309208,213244135825407,70.063694,0.000000,157,110,0
213244135825407,213244236253195,74.050633,0.000000,158,117,0
213244236253195,213244336750184,78.125000,0.000000,160,125,0
213244336750184,213244437133408,85.534591,0.000000,159,136,0
213244437133408,213244537474099,90.683230,0.000000,161,146,0
213244537474099,213244637794504,91.823899,0.000000,159,146,0
213244637794504,213244738134779,89.937107,0.000000,159,143,0
213244738134779,213244838484659,84.375000,0.000000,160,135,0
213244838484659,213244938868745,84.375000,0.000000,160,135,0
213244938868745,213245039266858,83.125000,0.625000,160,133,1
213245039266858,213245139862274,86.875000,0.000000,160,139,0
213245139862274,213245240472554,85.625000,0.000000,160,137,0
213245240472554,213245340988923,87.421384,0.000000,159,139,0
213245340988923,213245441548836,86.792453,0.000000,159,138,0
213245441548836,213245542170819,84.375000,0.000000,160,135,0
213245542170819,213245642755650,85.625000,0.000000,160,137,0
213245642755650,213245743371610,85.000000,0.000000,160,136,0
213245743371610,213245843799173,81.132075,0.000000,159,129,0
213245843799173,213245944319951,78.260870,0.000000,161,126,0
213245944319951,213246044897264,82.389937,1.257862,159,131,2
213246044897264,213246145423887,84.905660,0.000000,159,135,0
213246145423887,213246245894506,85.625000,0.000000,160,137,0
213246245894506,213246346289556,86.163522,0.000000,159,137,0
213246346289556,213246446750765,86.163522,0.000000,159,137,0
213246446750765,213246547338840,81.132075,0.000000,159,129,0
213246547338840,213246647968527,85.714286,0.000000,161,138,0
213246647968527,213246748462914,85.987261,0.000000,157,135,0
213246748462914,213246848964441,75.925926,2.469136,162,123,4
213246848964441,213246949416969,87.974684,0.000000,158,139,0
213246949416969,213247049913115,83.018868,0.000000,159,132,0
213247049913115,213247150793051,85.093168,0.000000,161,137,0
213247150793051,213247251392440,86.792453,0.000000,159,138,0
213247251392440,213247351919339,86.163522,0.000000,159,137,0
213247351919339,213247452264417,83.750000,0.000000,160,134,0
213247452264417,213247552779168,85.802469,0.000000,162,139,0
213247552779168,213247653573208,85.534591,0.000000,159,136,0
213247653573208,213247754106093,85.625000,0.000000,160,137,0
213247754106093,213247854649142,79.245283,0.000000,159,126,0
213247854649142,213247955017113,86.708861,0.000000,158,137,0
