sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
214328397060472,214328499079432,sda,11456,5865472,54.830494,0,8.812087,899
214328499079432,214328602290022,sda,14952,7655424,70.736746,0,11.888315,1227
214328602290022,214328708077551,sda,10688,5472256,49.332375,0,7.240929,766
214328708077551,214328813067017,sda,16344,8368128,76.012090,0,16.763587,1760
214328813067017,214328916051600,sda,10632,5443584,50.409548,0,6.136841,632
214328916051600,214329024077041,sda,17936,9183232,81.071759,0,13.145052,1420
214329024077041,214329126307738,sda,9848,5042176,47.036691,0,6.397296,654
214329126307738,214329229066927,sda,13696,7012352,65.079338,0,9.322767,958
214329229066927,214329332068175,sda,11912,6098944,56.469279,0,8.776593,904
214329332068175,214329435062770,sda,13824,7077888,65.537420,0,8.631521,889
214329435062770,214329536970580,sda,11056,5660672,52.973737,0,6.260560,638
214329536970580,214329639073491,sda,10976,5619712,52.489933,0,7.952761,812
214329639073491,214329741059912,sda,9536,4882432,45.655588,0,8.550158,872
214329741059912,214329843041897,sda,12704,6504448,60.825694,0,9.070229,925
214329843041897,214329945067332,sda,10856,5558272,51.955488,0,6.851233,699
214329945067332,214330046766627,sda,12536,6418432,60.188163,0,10.904697,1109
214330046766627,214330150090932,sda,11928,6107136,56.368332,0,11.188074,1156
214330150090932,214330252650904,sda,11416,5844992,54.350822,0,9.496882,974
214330252650904,214330358075822,sda,8128,4161536,37.645275,0,4.780653,504
214330358075822,214330460408730,sda,17368,8892416,82.871375,0,17.716686,1813
214330460408730,214330561814432,sda,11448,5861376,55.123564,0,9.703596,984
214330561814432,214330665085518,sda,15824,8101888,74.818256,0,11.658636,1204
214330665085518,214330768075662,sda,9592,4911104,45.476136,0,8.408572,866
214330768075662,214330871075198,sda,20072,10276864,95.153645,0,16.349588,1684
214330871075198,214330974070765,sda,8864,4538368,42.022440,0,5.359454,552
214330974070765,214331077067606,sda,16744,8572928,79.378952,0,13.233416,1363
214331077067606,214331179695485,sda,10168,5206016,48.377145,0,7.113077,730
