sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
213497468618237,213497569160536,sda,16536,8466432,80.306685,0,9.299569,935
213497569160536,213497669800437,sda,12720,6512640,61.714464,0,8.515509,857
213497669800437,213497770394456,sda,12400,6348800,60.189339,0,8.807681,886
213497770394456,213497870983967,sda,13200,6758400,64.075394,0,7.495811,754
213497870983967,213497971487227,sda,13328,6823936,64.752253,0,9.064383,911
213497971487227,213498072016291,sda,12496,6397952,60.694512,0,7.719161,776
213498072016291,213498172610570,sda,13304,6811648,64.577169,0,8.529312,858
213498172610570,213498273174175,sda,10776,5517312,52.322296,0,7.129816,717
213498273174175,213498373805076,sda,13416,6868992,65.097114,0,8.287713,834
213498373805076,213498474445715,sda,10392,5320704,50.419183,0,6.856077,690
213498474445715,213498575194614,sda,11744,6012928,56.917495,0,6.779230,683
213498575194614,213498675816810,sda,10592,5423104,51.398948,0,6.976592,702
213498675816810,213498776422962,sda,11696,5988352,56.765291,0,8.418968,847
213498776422962,213498876978252,sda,12416,6356992,60.290214,0,8.701680,875
213498876978252,213498977540497,sda,9904,5070848,48.088997,0,6.692372,673
213498977540497,213499078141204,sda,12496,6397952,60.651288,0,7.574499,762
213499078141204,213499178751358,sda,14352,7348224,69.653134,0,9.005055,906
213499178751358,213499279331826,sda,12304,6299648,59.731403,0,7.327466,737
213499279331826,213499379868193,sda,13616,6971392,66.129677,0,8.176146,822
213499379868193,213499480489032,sda,13496,6909952,65.491839,0,7.612737,766
213499480489032,213499581098106,sda,11792,6037504,57.229555,0,7.693143,774
213499581098106,213499681679882,sda,8136,4165632,39.496780,0,5.328997,536
213499681679882,213499782032833,sda,0,0,0.000000,0,0.000000,0
213499782032833,213499882431593,sda,0,0,0.000000,0,0.000000,0
213499882431593,213499982748697,sda,0,0,0.000000,0,0.000000,0
213499982748697,213500083050757,sda,0,0,0.000000,0,0.000000,0
213500083050757,213500183396870,sda,0,0,0.000000,0,0.000000,0
213500183396870,213500283768118,sda,0,0,0.000000,0,0.000000,0
213500283768118,213500384128961,sda,0,0,0.000000,0,0.000000,0
213500384128961,213500484476309,sda,0,0,0.000000,0,0.000000,0
213500484476309,213500585026763,sda,0,0,0.000000,0,0.000000,0
213500585026763,213500686175942,sda,0,0,0.000000,0,0.000000,0
