sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
266015609130286,266015709610457,81.645570,0.000000,158,129,0
266015709610457,266015810173986,81.250000,0.000000,160,130,0
266015810173986,266015911032205,78.750000,0.625000,160,126,1
266015911032205,266016011681630,81.250000,0.625000,160,130,1
266016011681630,266016112343813,82.278481,0.000000,158,130,0
266016112343813,266016212919796,84.177215,0.000000,158,133,0
266016212919796,266016313557296,84.276730,0.000000,159,134,0
266016313557296,266016414243679,83.750000,0.000000,160,134,0
266016414243679,266016514759413,82.500000,0.625000,160,132,1
266016514759413,266016615468535,82.500000,0.000000,160,132,0
266016615468535,266016716047549,80.379747,0.000000,158,127,0
266016716047549,266016816830680,79.113924,0.000000,158,125,0
266016816830680,266016917483681,82.389937,0.628931,159,131,1
266016917483681,266017018360869,81.132075,0.000000,159,129,0
266017018360869,266017118950020,84.276730,0.000000,159,134,0
266017118950020,266017219545208,81.250000,0.000000,160,130,0
266017219545208,266017320339941,82.608696,0.621118,161,133,1
266017320339941,266017420955578,82.278481,0.000000,158,130,0
266017420955578,266017521882936,83.018868,0.000000,159,132,0
266017521882936,266017622501737,83.750000,0.000000,160,134,0
266017622501737,266017723087525,80.625000,0.625000,160,129,1
266017723087525,266017823725460,81.132075,0.000000,159,129,0
266017823725460,266017924236806,82.911392,0.000000,158,131,0
266017924236806,266018024828148,81.875000,0.000000,160,131,0
266018024828148,266018125441524,83.647799,0.000000,159,133,0
266018125441524,266018226177139,80.745342,0.621118,161,130,1
266018226177139,266018326756319,80.379747,0.000000,158,127,0
266018326756319,266018427880974,81.987578,0.000000,161,132,0
266018427880974,266018528461670,79.503106,1.863354,161,128,3
266018528461670,266018628949203,82.389937,0.628931,159,131,1
266018628949203,266018729593987,72.151899,0.000000,158,114,0
266018729593987,266018830302921,68.125000,0.625000,160,109,1
266018830302921,266018931327493,69.620253,0.632911,158,110,1
266018931327493,266019031954027,73.417722,0.632911,158,116,1
266019031954027,266019133039296,78.616352,0.000000,159,125,0
266019133039296,266019233597505,83.125000,0.000000,160,133,0
266019233597505,266019334247831,82.802548,0.000000,157,130,0
266019334247831,266019434791395,80.625000,0.625000,160,129,1
266019434791395,266019535436706,82.500000,0.625000,160,132,1
266019535436706,266019636586426,80.625000,0.625000,160,129,1
266019636586426,266019737190951,81.761006,0.000000,159,130,0
266019737190951,266019837938578,67.500000,0.625000,160,108,1
266019837938578,266019939061717,77.848101,0.632911,158,123,1
266019939061717,266020039722249,82.802548,0.000000,157,130,0
266020039722249,266020140308433,82.608696,0.000000,161,133,0
266020140308433,266020240751720,78.481013,0.632911,158,124,1
266020240751720,266020341511039,79.375000,0.625000,160,127,1
266020341511039,266020442085183,84.276730,0.000000,159,134,0
266020442085183,266020542675519,81.645570,0.000000,158,129,0
266020542675519,266020643298906,85.443038,0.000000,158,135,0
266020643298906,266020743856010,81.132075,0.000000,159,129,0
266020743856010,266020845051565,75.308642,0.617284,162,122,1
266020845051565,266020945693611,83.544304,0.000000,158,132,0
266020945693611,266021046267580,78.980892,0.000000,157,124,0
266021046267580,266021146931519,82.389937,0.000000,159,131,0
266021146931519,266021247495874,79.245283,0.628931,159,126,1
266021247495874,266021348061843,85.625000,0.000000,160,137,0
266021348061843,266021448549358,83.018868,0.000000,159,132,0
266021448549358,266021549181388,73.248408,0.636943,157,115,1
266021549181388,266021649756560,72.670807,0.621118,161,117,1
266021649756560,266021750433483,65.408805,0.628931,159,104,1
266021750433483,266021851124488,73.248408,0.000000,157,115,0
266021851124488,266021951715700,81.875000,0.625000,160,131,1
266021951715700,266022052305882,83.647799,0.000000,159,133,0
266022052305882,266022153457181,74.375000,0.625000,160,119,1
266022153457181,266022254180521,79.746835,0.000000,158,126,0
266022254180521,266022354746993,82.500000,0.000000,160,132,0
266022354746993,266022455415842,46.794872,0.000000,156,73,0
266022455415842,266022556083012,44.654088,0.000000,159,71,0
266022556083012,266022656881743,62.500000,0.625000,160,100,1
266022656881743,266022757548791,75.000000,0.000000,160,120,0
266022757548791,266022858385363,70.063694,0.000000,157,110,0
266022858385363,266022959319964,75.155280,0.000000,161,121,0
266022959319964,266023060011883,84.276730,0.000000,159,134,0
266023060011883,266023160423568,82.608696,0.621118,161,133,1
266023160423568,266023261416398,69.871795,0.000000,156,109,0
266023261416398,266023362140398,72.327044,0.628931,159,115,1
266023362140398,266023462633339,83.018868,0.000000,159,132,0
266023462633339,266023563327176,79.874214,0.628931,159,127,1
266023563327176,266023664108893,76.433121,0.000000,157,120,0
266023664108893,266023764675684,77.987421,0.628931,159,124,1
266023764675684,266023865435719,77.987421,0.000000,159,124,0
266023865435719,266023966037822,81.528662,0.636943,157,128,1
266023966037822,266024066626971,81.250000,0.625000,160,130,1
266024066626971,266024167433740,82.098765,0.000000,162,133,0
266024167433740,266024268079982,80.745342,0.000000,161,130,0
266024268079982,266024368685855,80.503145,0.000000,159,128,0
266024368685855,266024469315499,83.544304,0.000000,158,132,0
266024469315499,266024569899239,81.250000,0.625000,160,130,1
266024569899239,266024670854736,81.528662,0.000000,157,128,0
266024670854736,266024771472077,75.471698,0.628931,159,120,1
266024771472077,266024872235362,69.811321,0.000000,159,111,0
