sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
266055294177153,266055394767991,sda,5536,2834432,26.872477,0,1.332129,134
266055394767991,266055495375875,sda,5352,2740224,25.974915,0,1.222568,123
266055495375875,266055596095030,sda,3888,1990656,18.848823,0,0.953145,96
266055596095030,266055697661183,sda,5608,2871296,26.960569,0,1.279954,130
266055697661183,266055798273202,sda,4864,2490368,23.605530,0,1.580328,159
266055798273202,266055899362562,sda,3488,1785856,16.847718,0,1.147500,116
266055899362562,266056000127699,sda,2352,1204224,11.397171,0,0.694685,70
266056000127699,266056101225568,sda,4256,2179072,20.555577,0,0.939684,95
266056101225568,266056201810334,sda,4672,2392064,22.679876,0,1.183082,119
266056201810334,266056302471650,sda,4680,2396160,22.701434,0,1.202051,121
266056302471650,266056403065609,sda,4240,2170880,20.580883,0,1.023918,103
266056403065609,266056504031757,sda,3392,1736704,16.404013,0,0.792345,80
266056504031757,266056604575216,sda,3896,1994752,18.920612,0,0.915027,92
266056604575216,266056705474569,sda,3560,1822720,17.227873,0,0.822602,83
266056705474569,266056806127179,sda,4824,2469888,23.401964,0,1.092868,110
266056806127179,266056907174306,sda,4136,2117632,19.986033,0,1.147979,116
266056907174306,266057007773566,sda,4736,2424832,22.987247,0,1.282316,129
266057007773566,266057108992703,sda,3896,1994752,18.794309,0,1.116390,113
266057108992703,266057209621142,sda,4448,2277376,21.583113,0,1.073255,108
266057209621142,266057310560563,sda,2744,1404928,13.273741,0,0.624137,63
266057310560563,266057411387381,sda,5488,2809856,26.577131,0,1.487699,150
266057411387381,266057512093035,sda,2856,1462272,13.847596,0,0.714955,72
266057512093035,266057612836960,sda,3792,1941504,18.378900,0,0.893354,90
266057612836960,266057714035662,sda,2520,1290240,12.158938,0,0.662064,67
266057714035662,266057814745095,sda,3064,1568768,14.855547,0,0.824153,83
266057814745095,266057915530684,sda,2928,1499136,14.185436,0,0.754076,76
266057915530684,266058016147215,sda,3016,1544192,14.636325,0,0.844792,85
266058016147215,266058117094832,sda,2904,1486848,14.046580,0,0.733053,74
266058117094832,266058217920128,sda,2896,1482752,14.024878,0,0.763697,77
266058217920128,266058318487226,sda,2888,1478656,14.022044,0,0.755714,76
266058318487226,266058419538581,sda,3608,1847296,17.433895,0,0.930220,94
266058419538581,266058520227921,sda,5000,2560000,24.246919,0,1.211648,122
266058520227921,266058620847772,sda,4816,2465792,23.370761,0,1.202546,121
266058620847772,266058721565729,sda,4400,2252800,21.331226,0,1.042515,105
266058721565729,266058822233927,sda,3696,1892352,17.927087,0,0.884093,89
266058822233927,266058923021307,sda,4104,2101248,19.882512,0,1.051719,106
266058923021307,266059023638349,sda,4952,2535424,24.031404,0,1.202580,121
266059023638349,266059124301178,sda,3352,1716224,16.259415,0,0.904008,91
266059124301178,266059225129921,sda,4192,2146304,20.300511,0,1.051288,106
266059225129921,266059325678095,sda,4360,2232320,21.172998,0,1.054221,106
266059325678095,266059426431814,sda,3248,1662976,15.740734,0,0.843641,85
266059426431814,266059527134013,sda,2824,1445888,13.692911,0,0.893724,90
266059527134013,266059627793514,sda,2880,1474560,13.970365,0,0.764955,77
266059627793514,266059728428840,sda,2944,1507328,14.284248,0,0.695581,70
266059728428840,266059828986862,sda,3872,1982464,18.801334,0,1.034229,104
266059828986862,266059929602646,sda,5128,2625536,24.885820,0,1.202595,121
266059929602646,266060030491118,sda,3000,1536000,14.519436,0,0.792955,80
266060030491118,266060131103812,sda,4064,2080768,19.722909,0,1.043606,105
266060131103812,266060231668123,sda,3384,1732608,16.430717,0,0.875062,88
266060231668123,266060332812908,sda,3088,1581056,14.907467,0,0.781059,79
266060332812908,266060433720594,sda,2744,1404928,13.277916,0,0.753164,76
266060433720594,266060534352427,sda,4928,2523136,23.911420,0,1.172591,118
266060534352427,266060634985407,sda,3776,1933312,18.321528,0,0.884402,89
266060634985407,266060735683901,sda,3472,1777664,16.835530,0,0.784520,79
266060735683901,266060836516498,sda,2920,1495040,14.140083,0,0.793394,80
266060836516498,266060937043114,sda,5160,2641920,25.063325,0,1.332980,134
266060937043114,266061037672344,sda,4376,2240512,21.233579,0,1.132872,114
266061037672344,266061138264762,sda,3344,1712128,16.231964,0,0.904641,91
266061138264762,266061239455011,sda,3944,2019328,19.031293,0,1.047532,106
266061239455011,266061340533912,sda,4536,2322432,21.912028,0,1.038792,105
