sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
214146469921458,214146572364800,37.888199,0.000000,161,61,0
214146572364800,214146675568328,36.645963,0.000000,161,59,0
214146675568328,214146776668748,36.250000,0.000000,160,58,0
214146776668748,214146878918410,30.434783,0.000000,161,49,0
214146878918410,214146980879844,30.864198,0.000000,162,50,0
214146980879844,214147083844817,36.196319,0.613497,163,59,1
214147083844817,214147186058309,40.993789,0.000000,161,66,0
214147186058309,214147288858800,32.098765,0.000000,162,52,0
214147288858800,214147391416609,30.625000,0.000000,160,49,0
214147391416609,214147493782476,32.298137,0.000000,161,52,0
214147493782476,214147595823097,40.993789,0.621118,161,66,1
214147595823097,214147698478000,37.267081,0.000000,161,60,0
214147698478000,214147801043991,39.634146,0.000000,164,65,0
214147801043991,214147903550283,37.888199,0.000000,161,61,0
214147903550283,214148004847466,43.125000,0.000000,160,69,0
214148004847466,214148107295436,40.993789,0.000000,161,66,0
214148107295436,214148209803181,40.993789,0.000000,161,66,0
214148209803181,214148310990921,44.025157,0.000000,159,70,0
214148310990921,214148413072600,42.500000,0.000000,160,68,0
214148413072600,214148514835780,44.444444,0.000000,162,72,0
214148514835780,214148617220577,44.099379,0.000000,161,71,0
214148617220577,214148719368425,43.209877,0.000000,162,70,0
214148719368425,214148822195806,41.104294,0.000000,163,67,0
214148822195806,214148924649810,37.267081,0.000000,161,60,0
214148924649810,214149026752110,40.372671,0.621118,161,65,1
214149026752110,214149129068926,47.500000,0.000000,160,76,0
214149129068926,214149230385469,47.500000,0.000000,160,76,0
214149230385469,214149332478872,45.962733,0.000000,161,74,0
214149332478872,214149434376949,37.500000,0.000000,160,60,0
214149434376949,214149537181732,36.419753,0.000000,162,59,0
214149537181732,214149639504996,35.802469,0.000000,162,58,0
214149639504996,214149741354706,34.591195,0.000000,159,55,0
214149741354706,214149842485342,32.278481,0.632911,158,51,1
214149842485342,214149945047838,29.447853,0.613497,163,48,1
214149945047838,214150047242869,33.333333,0.000000,162,54,0
214150047242869,214150150493997,40.880503,0.000000,159,65,0
214150150493997,214150252689817,39.375000,0.000000,160,63,0
214150252689817,214150354120823,37.888199,0.000000,161,61,0
214150354120823,214150457077707,40.000000,0.000000,160,64,0
214150457077707,214150558234925,45.061728,0.000000,162,73,0
214150558234925,214150661165027,46.583851,0.000000,161,75,0
214150661165027,214150764084375,43.827160,0.000000,162,71,0
214150764084375,214150866445648,38.271605,0.000000,162,62,0
214150866445648,214150968906471,38.750000,0.000000,160,62,0
214150968906471,214151071622991,42.331288,0.000000,163,69,0
214151071622991,214151174110249,47.826087,0.000000,161,77,0
214151174110249,214151276450309,45.398773,0.000000,163,74,0
214151276450309,214151378470891,44.099379,0.000000,161,71,0
214151378470891,214151481715624,39.506173,0.000000,162,64,0
214151481715624,214151584222912,36.875000,0.000000,160,59,0
214151584222912,214151687097142,35.403727,0.000000,161,57,0
214151687097142,214151788271008,30.000000,0.000000,160,48,0
214151788271008,214151890240920,28.571429,0.621118,161,46,1
214151890240920,214151992937440,32.716049,0.000000,162,53,0
214151992937440,214152095364616,41.875000,0.000000,160,67,0
214152095364616,214152198167809,40.993789,0.000000,161,66,0
214152198167809,214152300855285,38.750000,0.000000,160,62,0
214152300855285,214152403387581,40.625000,0.000000,160,65,0
214152403387581,214152506042932,46.296296,0.617284,162,75,1
214152506042932,214152608334619,39.375000,0.000000,160,63,0
214152608334619,214152710772498,36.419753,0.000000,162,59,0
214152710772498,214152813404561,33.333333,0.000000,162,54,0
214152813404561,214152915774437,33.540373,0.000000,161,54,0
214152915774437,214153017199713,31.250000,0.000000,160,50,0
214153017199713,214153119760796,46.250000,0.000000,160,74,0
214153119760796,214153222114347,46.913580,0.000000,162,76,0
214153222114347,214153324496601,44.720497,0.000000,161,72,0
214153324496601,214153427511318,35.975610,0.000000,164,59,0
214153427511318,214153530359486,40.372671,0.000000,161,65,0
214153530359486,214153633053159,45.341615,0.000000,161,73,0
214153633053159,214153734383949,42.857143,0.000000,161,69,0
214153734383949,214153836802113,41.875000,0.000000,160,67,0
214153836802113,214153938082147,35.802469,0.000000,162,58,0
214153938082147,214154040489423,43.125000,0.000000,160,69,0
214154040489423,214154143111868,47.530864,0.000000,162,77,0
214154143111868,214154245709398,46.583851,0.000000,161,75,0
214154245709398,214154348592230,43.478261,0.000000,161,70,0
214154348592230,214154450834152,35.802469,0.000000,162,58,0
214154450834152,214154553830891,36.196319,0.000000,163,59,0
214154553830891,214154656623931,36.645963,0.000000,161,59,0
214154656623931,214154759932744,32.098765,0.000000,162,52,0
214154759932744,214154862516217,31.875000,0.000000,160,51,0
214154862516217,214154965063123,30.487805,0.609756,164,50,1
214154965063123,214155067643801,40.123457,0.000000,162,65,0
214155067643801,214155170179983,40.993789,0.000000,161,66,0
214155170179983,214155272760615,39.506173,0.000000,162,64,0
214155272760615,214155375876375,37.423313,0.000000,163,61,0
214155375876375,214155478825204,42.236025,0.000000,161,68,0
214155478825204,214155581265797,45.000000,0.000000,160,72,0
